baseMean log2FoldChange lfcSE stat pvalue padj
ENSG00000142599 2538.72914820426 -0.214371977050787 0.149562701963046 -1.43332511540046 0.190341264960145 0.942693057848322
ENSG00000074800 9369.57026675407 0.162111037879033 0.162433194334965 0.998016683367887 0.361849363654808 0.979584364913055
ENSG00000049239 244.404412087606 0.0439778146575223 0.25143437301365 0.174907726936503 0.873033898180395 0.997583225344129
ENSG00000188807 448.30582281922 -0.169371791948196 0.281080691370512 -0.602573556804497 0.581944465196003 0.997174124122058
ENSG00000171608 234.139159981681 0.0697121501876594 0.253274465082578 0.275243499832999 0.801444051480177 0.997583225344129
ENSG00000171603 10555.4948453002 -0.00792602202908286 0.0942606862573967 -0.0840861905825654 0.938761891025388 0.997583225344129
ENSG00000178585 216.152285059111 -0.282402887836237 0.196636217568357 -1.43616924353248 0.18946318885592 0.942693057848322
ENSG00000162441 433.247511815422 -0.184067870484016 0.230629923765416 -0.79810922832043 0.465879582353581 0.987268814864029
ENSG00000130939 1370.85691006325 0.269155114622456 0.1105024086115 2.43573979974266 0.0260520290114561 0.663556564127267
ENSG00000054523 10376.5977815771 0.277924202256743 0.10133389465657 2.74265785597855 0.0122156143907 0.545190573797546
ENSG00000142657 3597.55513213782 0.247833322331683 0.124225421267343 1.99502903514673 0.0683373228748536 0.844056112029881
ENSG00000160049 322.270664721221 -0.159056187146328 0.196236497565203 -0.810533153209581 0.458965837420919 0.986608542562518
ENSG00000142655 384.902578935301 -0.0714777727806275 0.156705855587336 -0.456127006312097 0.676865306500647 0.997174124122058
ENSG00000130940 218.431947885873 0.106721727019404 0.220115643514937 0.484843899848319 0.657778799209933 0.997174124122058
ENSG00000120948 1268.06508152872 -0.163243153746443 0.1304242706677 -1.25163171632649 0.252804315607259 0.955567518880694
ENSG00000277726 1005.33196150762 -0.180109025218538 0.130227518663342 -1.38303353290595 0.206366136040795 0.947046899654676
ENSG00000116649 848.768622515716 -0.190054767595842 0.165671167285097 -1.14718071170938 0.294577862713661 0.975845786325021
ENSG00000171824 1350.54738517452 0.0458669381918667 0.129140717005132 0.355170230238415 0.745556163376031 0.997583225344129
ENSG00000198793 1722.86941283407 0.16699966205159 0.125022580934729 1.33575599546114 0.22230367753526 0.947736216874614
ENSG00000120942 292.668076963028 -0.0662910594707374 0.204296816553593 -0.324484055057937 0.766872899428529 0.997583225344129
ENSG00000204624 677.074974289576 -0.0757518900127972 0.22597971970653 -0.335215434868106 0.759397129026977 0.997583225344129
ENSG00000132879 372.047283408878 -0.0305806701863644 0.230682851232119 -0.132565858376674 0.903596008172949 0.997583225344129
ENSG00000116670 743.533299336248 0.159679744931062 0.140401437409502 1.13730847687358 0.298752651877956 0.976542665280141
ENSG00000162490 760.870073246106 -0.0779471065680632 0.18549256404372 -0.42021688022864 0.70102670806769 0.997174124122058
ENSG00000177000 379.949020236663 -0.130230119781007 0.220864467101956 -0.58963816810284 0.590074445284085 0.997174124122058
ENSG00000011021 973.376554145671 -0.128449229287948 0.125550967977975 -1.02308434061999 0.349917101026872 0.978291052416341
ENSG00000116685 210.995173133872 -0.0808850342632778 0.240827641413893 -0.335862751420077 0.758946901067663 0.997583225344129
ENSG00000083444 1143.88195657796 0.0243179043947487 0.163936741505266 0.14833712181578 0.892193218361121 0.997583225344129
ENSG00000116688 1654.18977152727 0.0562684349130692 0.104001496048895 0.541034860562151 0.621079278579853 0.997174124122058
ENSG00000116691 301.088884015257 -0.336340388178218 0.237232678928143 -1.41776583941917 0.195198014999036 0.942693057848322
ENSG00000048707 1483.36386066153 0.313060592685457 0.178898823861049 1.7499309717576 0.109856162123838 0.880546478138715
ENSG00000162496 408.845945361338 -0.223899139368976 0.241397366686486 -0.927512766366517 0.396755331669472 0.981853908582128
ENSG00000162493 400.515371918858 0.0951912092290356 0.239530778158003 0.397407005317054 0.716534336183566 0.997174124122058
ENSG00000116731 1953.25904205241 0.0818904299015143 0.123246719605756 0.664443079405823 0.543801588546157 0.992579815387314
ENSG00000189337 347.571073007309 -0.395066646311941 0.226225841752477 -1.74633739121722 0.110587806413973 0.88235495796527
ENSG00000142634 160.007406694244 -0.100391102205655 0.237363817888345 -0.422941891897267 0.699182220623914 0.997174124122058
